학교명,위도,경도
서울시립대학교,37.58257758,127.0599881
서울여자간호대학교,37.59702995,126.9564766
서울여자대학교,37.62738159,127.0916212
서일대학교,37.595426,127.086312
성공회대학교,37.488158,126.823195
성균관대학교,37.5904163,126.9978427
성신여자대학교,37.59465913,127.0198884
세종대학교,37.550486,127.073652
숙명여자대학교,37.54547408,126.9650744
숭실대학교,37.49640193,126.9565882
숭의여자대학교,37.55785307,126.9874816
연세대학교,37.565784,126.938572
이화여자대학교,37.56317403,126.9478074
인덕대학교,37.63025145,127.0544486
장로회신학대학교,37.54869023,127.1045738
중앙대학교 서울캠퍼스,37.50472672,126.9538339
총신대학교,37.49087911,126.9671821
추계예술대학교,37.5627772,126.9533316
한국방송통신대학교,37.579614,127.003845
한국성서대학교,37.68051282,127.089107
한국예술종합학교,37.61298602,127.0614008
한국외국어대학교,37.59829668,127.0579424
한국체육대학교,37.519911,127.127623
한국폴리텍 I 대학 서울강서캠퍼스,37.55040237,126.8435532
한국폴리텍Ⅰ대학 서울정수캠퍼스,37.52997497,126.996817
한성대학교,37.582156,127.010604
한양대학교,37.55450355,127.0466112
한양여자대학교,37.557738,127.043057
한영신학대학교,37.49658107,126.85125
홍익대학교,37.5525246,126.9250355
가톨릭대학교,37.50007959,127.0052468
가톨릭대학교,37.58490098,127.0047707
감리교신학대학교,37.494986,126.830151
건국대학교,37.54647626,127.0713676
경기대학교,37.56519469,126.9622242
경희대학교,37.594512,127.049623
고려대학교,37.586721,127.027603
광운대학교,37.61970332,127.0596707
국민대학교,37.60944,126.997271
국제예술대학,37.51690578,127.031004
그리스도대학교,37.512445,126.946253
덕성여자대학교,37.65247041,127.0158349
동국대학교,37.558377,126.998213
동덕여자대학교,37.591273,127.051614
동양미래대학교,37.49999579,126.8681697
명지대학교 인문캠퍼스,37.58022754,126.9231207
명지전문대학,37.58528319,126.9256478
배화여자대학교,37.57954401,126.9672919
백석예술대학교,37.48037139,126.996897
삼육대학교,37.64335737,127.1088503
삼육보건대학교,37.5901077,127.0686148
상명대학교,37.60252,126.956756
서강대학교,37.551279,126.940541
서경대학교,37.615888,127.01114
서울과학기술대학교,37.63307893,127.0767947
서울교육대학교,37.49074049,127.0154245
서울기독대학교,37.6011252,126.9130636
서울대학교,37.46628727,126.9481564
